Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Sailor (YOUR Home Is The Sea),Lolita,3:26,4,0.443,0.306,7,-13.648,1,0.0312,0.909,0.937,0.108,0.398,101.897,2,1961
Don’t Bet Money Honey,Linda Scott,2:33,3,0.74,0.183,5,-12.344,1,0.0392,0.288,0.834,0.0959,0.608,100.355,0,1961
You Don’t Know What You’ve Got (UNTIL You Lose It),Ral Donner,2:13,4,0.582,0.319,2,-11.933,0,0.035,0.831,0.0000166,0.105,0.527,130.647,0,1961
There’s A Moon Out Tonight,The Capris,2:12,4,0.785,0.755,3,-8.877,1,0.119,0.00106,0.945,0.111,0.372,136.999,0,1961
Al Di Là,Emilio Pericoli,3:30,4,0.549,0.502,0,-5.972,1,0.0405,0.299,0,0.764,0.291,129.842,82,1962
Gina,Johnny Mathis,2:12,4,0.832,0.534,1,-7.813,0,0.253,0.345,0,0.165,0.116,93.924,81,1962
You Belong To Me,The Duprees,3:51,4,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,81,1962
Moon River,Henry Mancini,7:02,4,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,76,1962
Hey! Baby,Bruce Channel,3:54,4,0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,75,1962
Shout,Joey Dee and the Starliters,6:33,4,0.511,0.942,0,-10.407,1,0.0429,0.174,0.0000187,0.139,0.498,97.909,73,1962
Norman,Sue Thompson,4:08,1,0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,73,1962
The Stripper,David Rose,2:28,4,0.625,0.667,1,-5.875,1,0.131,0.754,0.954,0.135,0.0805,80.046,72,1962
Things,Bobby Darin,3:23,4,0.659,0.683,3,-5.623,1,0.0312,0.513,0.00000493,0.133,0.397,139.931,71,1962
Green Onions,Booker T. & the M.G.’s,2:56,4,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,70,1962
Walk On,by Leroy Van Dyke,3:18,4,0.87,0.699,5,-5.541,0,0.0459,0.245,0.00000676,0.0588,0.727,126.967,70,1962
I Remember You,Frank Ifield,4:03,4,0.584,0.536,10,-8.158,1,0.0279,0.112,0,0.456,0.441,127.001,67,1962
Cotton Fields,the Highwaymen,2:57,4,0.582,0.641,9,-7.621,1,0.0297,0.237,0,0.132,0.86,148.634,67,1962
Do You Love Me,The Contours,2:52,4,0.596,0.793,5,-6.611,1,0.0421,0.586,0.00000186,0.108,0.8,150.256,66,1962
When I Fall In Love,the Lettermen,4:12,4,0.524,0.759,2,-4.714,1,0.0471,0.168,0,0.104,0.234,77.879,66,1962
Sheila,Tommy Roe,4:41,4,0.803,0.859,6,-4.405,0,0.185,0.305,0.0000618,0.553,0.631,101.007,66,1962
Big Girls Don’t Cry,The Four Seasons,4:28,4,0.707,0.642,7,-4.271,1,0.0337,0.204,0,0.0925,0.249,113.083,65,1962
The Wanderer,Dion,2:48,4,0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,64,1962
He’s A Rebel,The Crystals,3:55,4,0.738,0.983,5,-4.374,0,0.0852,0.0376,0.00000598,0.183,0.957,92.998,64,1962
Sherry,The Four Seasons,2:32,4,0.701,0.471,0,-8.072,1,0.0421,0.647,0,0.125,0.69,117.564,64,1962
Please Mr. Postman,The Marvelettes,2:28,4,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,63,1962
Playboy,The Marvelettes,3:23,3,0.819,0.635,6,-6.367,0,0.0333,0.78,0,0.193,0.949,121.989,63,1962
The Twist,Chubby Checker,2:48,4,0.436,0.848,5,-4.733,1,0.0366,0.00895,0.0000113,0.099,0.324,146.208,61,1962
I Can’t Stop Loving You,Ray Charles,4:11,4,0.657,0.467,5,-8.925,1,0.0341,0.667,0.00000192,0.0295,0.276,100.139,61,1962
The Lion Sleeps Tonight,the Tokens,2:42,4,0.321,0.474,5,-9.383,1,0.0348,0.743,0,0.204,0.804,121.199,61,1962
Twistin’ The Night Away,Sam Cooke,2:39,4,0.458,0.801,9,-7.83,1,0.0565,0.691,0,0.328,0.93,160.547,60,1962
Sealed With A Kiss,Brian Hyland,2:42,4,0.449,0.362,5,-10.38,0,0.0279,0.743,0,0.132,0.6,90.822,59,1962
The Loco-Motion,Little Eva,3:13,4,0.755,0.913,3,-5.058,1,0.0391,0.36,0.0425,0.0242,0.752,129,59,1962
Unchain My Heart,Ray Charles,5:04,4,0.751,0.674,9,-12.976,0,0.0425,0.0214,0.000143,0.32,0.696,117.969,59,1962
Crying In The Rain,The Everly Brothers,2:00,4,0.61,0.379,2,-9.381,1,0.0278,0.622,0,0.144,0.48,97.166,59,1962
Break It To Me Gently,Brenda Lee,2:44,3,0.539,0.26,0,-10.414,0,0.0268,0.588,0,0.134,0.492,92.032,57,1962
Young World,Ricky Nelson,5:32,4,0.779,0.705,8,-6.383,0,0.051,0.237,0,0.0899,0.451,122.996,57,1962
Only Love Can Break A Heart,Gene Pitney,3:08,3,0.732,0.239,2,-12.198,1,0.037,0.676,0.00000157,0.0972,0.379,110.579,56,1962
Monster Mash,Bobby ‘Boris’ Pickett,3:12,4,0.541,0.504,11,-14.191,0,0.457,0.375,0,0.421,0.707,68.482,54,1962
Duke Of Earl,Gene Chandler,2:27,4,0.422,0.28,5,-11.277,1,0.0365,0.824,0,0.297,0.496,100.839,54,1962
Venus In Blue Jeans,Jimmy Clanton,2:23,4,0.497,0.762,1,-4.462,1,0.038,0.354,0.0000589,0.278,0.727,111.534,54,1962
Surfin’ Safari,The Beach Boys,2:06,4,0.542,0.786,9,-5.251,1,0.0438,0.79,0.0000214,0.102,0.967,158.37,54,1962
Let Me In,The Sensations,4:40,3,0.614,0.283,0,-8.008,1,0.027,0.472,0,0.114,0.331,107.673,54,1962
Snap Your Fingers,Joe Henderson,4:11,4,0.668,0.788,5,-6.752,1,0.0424,0.0000748,0.108,0.0792,0.692,137.38,53,1962
Baby It’s You,The Shirelles,3:33,4,0.521,0.884,4,-2.931,0,0.0403,0.00155,0.00000157,0.209,0.494,92.988,53,1962
Breaking Up Is Hard To Do,Neil Sedaka,2:19,4,0.743,0.799,8,-5.466,0,0.0375,0.699,0,0.0635,0.965,116.112,52,1962
Goodbye Cruel World,James Darren,1:13,4,0.472,0.0118,2,-31.734,1,0.0397,0.783,0.799,0.247,0.0698,102.949,51,1962
You Beat Me To The Punch,Mary Wells,2:45,4,0.75,0.398,11,-14.516,0,0.0466,0.605,0,0.18,0.961,113.516,51,1962
The One Who Really Loves You,Mary Wells,2:27,4,0.769,0.407,7,-13.556,1,0.031,0.733,0,0.244,0.921,115.65,50,1962
Soldier Boy,The Shirelles,2:48,4,0.626,0.592,8,-7.696,1,0.0321,0.84,0.00543,0.13,0.789,163.934,49,1962
Lover Please,Clyde McPhatter,4:07,4,0.269,0.122,1,-10.408,1,0.0334,0.952,0,0.0915,0.118,83.967,48,1962
You Don’t Know Me,Ray Charles,2:45,4,0.901,0.489,2,-8.766,1,0.383,0.431,0,0.72,0.603,127.969,48,1962
Love Letters,Ketty Lester,1:33,4,0.828,0.449,3,-11.712,1,0.181,0.411,0.0048,0.103,0.48,99.965,47,1962
"Happy Birthday, Sweet Sixteen",Neil Sedaka,2:37,4,0.498,0.796,8,-4.882,1,0.0453,0.607,0,0.3,0.906,79.648,47,1962
Alley Cat,Bent Fabric,2:22,5,0.408,0.888,8,-6.74,0,0.0397,0.000089,0.805,0.432,0.524,112.238,46,1962
All Alone Am I,Brenda Lee,2:46,3,0.409,0.342,5,-8.458,1,0.0252,0.754,0,0.357,0.423,99.568,46,1962
Speedy Gonzales,Pat Boone,3:24,4,0.586,0.945,2,-6.465,1,0.165,0.136,0.00000218,0.89,0.849,181.983,46,1962
Limbo Rock,Chubby Checker,2:28,4,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,45,1962
Patches,Dickey Lee,3:13,4,0.639,0.544,4,-12.843,1,0.141,0.617,0,0.479,0.793,80.844,44,1962
Can’t Help Falling In Love,Elvis Presley,3:13,4,0.245,0.166,0,-11.76,1,0.0332,0.936,0.00855,0.0939,0.239,71.915,44,1962
Roses Are Red (MY Love),Bobby Vinton,2:38,4,0.499,0.145,5,-14.145,1,0.0319,0.756,0,0.35,0.48,101.949,43,1962
Stranger On The Shore,Acker Bilk,3:18,4,0.265,0.379,10,-11.017,1,0.0312,0.293,0.808,0.207,0.322,72.89,42,1962
Let’s Dance,Chris Montez,2:54,4,0.415,0.51,0,-5.022,1,0.0343,0.13,0,0.101,0.829,176.246,42,1962
Wolverton Mountain,Claude King,2:59,4,0.657,0.375,9,-15.874,1,0.0527,0.873,0.000331,0.195,0.887,157.641,42,1962
Lovers Who Wander,Dion,2:31,1,0.51,0.382,0,-13.637,1,0.0613,0.54,0,0.122,0.821,111.63,42,1962
Good Luck Charm,Elvis Presley,4:24,4,0.634,0.653,11,-5.89,1,0.0689,0.434,0,0.109,0.5,116.156,42,1962
(THE Man Who Shot) Liberty Valance,Gene Pitney,2:58,4,0.602,0.591,1,-8.684,0,0.053,0.739,0,0.175,0.837,88.392,42,1962
Mashed Potato Time,Dee Dee Sharp,2:30,4,0.674,0.473,2,-7.193,1,0.0362,0.0705,0.0000479,0.0593,0.847,125.046,41,1962
Ramblin’ Rose,Nat King Cole,2:47,4,0.431,0.379,9,-8.615,1,0.0267,0.794,0,0.303,0.31,97.061,41,1962
She’s Not You,Elvis Presley,2:39,4,0.77,0.435,0,-6.888,1,0.14,0.146,0.00000659,0.0918,0.921,90.019,40,1962
Town Without Pity,Gene Pitney,2:54,3,0.428,0.535,7,-6.423,1,0.0316,0.599,0.0000508,0.0623,0.68,120.495,40,1962
The Wah-Watusi,The Orlons,2:30,4,0.768,0.684,4,-6.116,0,0.0398,0.138,0.000898,0.0642,0.887,134.116,40,1962
She Cried,Jay and the Americans,3:24,4,0.76,0.627,2,-9.048,1,0.0351,0.29,0,0.0652,0.731,120.778,39,1962
Let There Be Drums,Sandy Nelson,2:18,4,0.594,0.819,1,-11.067,1,0.0378,0.0907,0.845,0.0613,0.661,101.29,39,1962
Dream Baby (HOW Long Must I Dream),Roy Orbison,2:33,4,0.436,0.525,5,-9.248,1,0.0321,0.541,0.0000282,0.11,0.877,153.618,38,1962
Palisades Park,Freddy Cannon,1:50,4,0.305,0.75,1,-6.764,1,0.0431,0.0825,0,0.189,0.883,83.086,37,1962
Next Door To An Angel,Neil Sedaka,2:26,4,0.763,0.931,6,-4.163,0,0.0576,0.723,0,0.164,0.962,123.773,37,1962
Johnny Angel,Shelley Fabares,2:19,4,0.369,0.385,0,-9.132,1,0.0282,0.872,0,0.279,0.735,108.025,37,1962
What’s Your Name,Don and Juan,1:27,4,0.889,0.45,11,-6.852,0,0.0357,0.334,0,0.349,0.783,112.023,36,1962
Slow Twistin’,Chubby Checker & Dee Dee Sharp,2:33,4,0.753,0.711,4,-5.181,1,0.0373,0.371,0,0.203,0.905,130.387,34,1962
Old Rivers,Walter Brennan,4:44,4,0.436,0.895,11,-6.458,1,0.0703,0.0000169,0.707,0.421,0.223,114.877,34,1962
Run To Him,Bobby Vee,1:27,4,0.657,0.0195,10,-22.581,1,0.056,0.86,0,0.351,0.592,45.449,33,1962
Shout! Shout! (KNOCK Yourself Out),Ernie Maresca,2:10,4,0.654,0.721,8,-8.476,1,0.139,0.273,0,0.344,0.967,94.851,32,1962
Peppermint Twist,Joey Dee and the Starliters,2:02,4,0.427,0.642,0,-12.143,1,0.116,0.295,0,0.847,0.774,197.836,32,1962
Gravy (FOR My Mashed Potatoes),Dee Dee Sharp,2:08,4,0.793,0.798,2,-5.62,1,0.0335,0.507,0.00000209,0.203,0.97,129.964,31,1962
Johnny Get Angry,Joanie Sommers,2:36,4,0.628,0.27,1,-14.47,1,0.0359,0.78,0,0.325,0.548,126.676,30,1962
It Keeps Right On A-Hurtin’,Johnny Tillotson,2:49,4,0.309,0.288,9,-10.365,1,0.0358,0.717,0,0.139,0.473,200.552,30,1962
Love Me Warm And Tender,Paul Anka,2:19,4,0.628,0.611,2,-8.583,1,0.0449,0.495,0,0.41,0.796,108.872,30,1962
Ahab The Arab,Ray Stevens,4:22,4,0.643,0.593,7,-9.606,1,0.244,0.443,0.0000214,0.497,0.791,174.513,30,1962
Party Lights,Claudine Clark,1:44,4,0.838,0.278,3,-12.266,1,0.209,0.0131,0.81,0.0994,0.336,120.999,29,1962
Don’t Break The Heart That Loves You,Connie Francis,3:06,4,0.4,0.419,8,-7.268,1,0.0321,0.856,0,0.269,0.219,73.711,29,1962
Everybody Loves Me But You,Brenda Lee,3:35,4,0.379,0.845,9,-8.844,1,0.0358,0.0595,0,0.0371,0.75,147.506,28,1962
When The Boy In Your Arms (IS The Boy In Your Heart),Connie Francis,2:46,4,0.324,0.15,6,-13.977,1,0.0318,0.957,0.000141,0.171,0.175,110.805,27,1962
I Know (YOU Don’t Love Me No More),Barbara George,2:24,4,0.848,0.409,5,-10.757,1,0.0512,0.259,0.0115,0.0665,0.826,123.772,26,1962
Midnight In Moscow,Kenny Ball,2:59,4,0.543,0.476,5,-11.111,0,0.0294,0.202,0.939,0.128,0.887,166.446,26,1962
A Little Bitty Tear,Burl Ives,2:06,4,0.512,0.274,0,-14.106,1,0.0411,0.877,0.000278,0.183,0.86,143.106,25,1962
Pt-109,Jimmy Dean,3:12,4,0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024,22,1962
Theme From Dr. Kildare (THREE Stars Will Shine Tonight),Richard Chamberlain,2:42,1,0.271,0.175,9,-14.515,1,0.0348,0.905,0,0.251,0.19,110.915,15,1962
"Twist, Twist, Señora",Gary U.S. Bonds,2:37,4,0.659,0.819,10,-7.747,1,0.0453,0.667,0.0155,0.843,0.858,93.396,14,1962
Dear Lady Twist,Gary U.S. Bonds,2:32,4,0.524,0.892,9,-7.214,0,0.235,0.62,0,0.818,0.936,138.964,13,1962
Popeye The Hitchhiker,Chubby Checker,2:25,4,0.708,0.679,7,-5.301,1,0.0783,0.721,0.0000994,0.277,0.847,128.683,12,1962
Her Royal Majesty,James Darren,2:12,4,0.359,0.591,5,-8.668,1,0.0561,0.637,0,0.281,0.91,183.318,11,1962
Teen Age Idol,Rick Nelson,2:36,4,0.706,0.41,7,-13.943,1,0.027,0.0201,0.00816,0.0654,0.642,98.9,10,1962
You’ll Lose A Good Thing,Barbara Lynn,2:35,4,0.384,0.666,5,-5.863,1,0.031,0.133,0.000521,0.545,0.796,68.049,3,1962
Cindy’s Birthday,Johnny Crawford,2:48,4,0.7,0.548,0,-9.918,1,0.0388,0.317,0.000114,0.29,0.36,76.457,0,1962
Heat Wave,Martha & the Vandellas,3:58,4,0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,88,1963
Mockingbird,Inez & Charlie Foxx,4:10,4,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,86,1963
More,Kai Winding,3:36,4,0.62,0.869,6,-5.479,1,0.0462,0.615,0,0.131,0.597,126.019,80,1963
Be My Baby,The Ronettes,2:40,4,0.512,0.771,4,-7.006,1,0.0402,0.168,0,0.0895,0.803,129.639,79,1963
Losing You,Brenda Lee,4:37,4,0.744,0.396,0,-13.712,1,0.057,0.509,0.00319,0.121,0.18,102.969,77,1963
Still,Bill Anderson,4:06,4,0.946,0.646,5,-6.604,1,0.21,0.219,0,0.0643,0.961,127.978,75,1963
Surfin’ U.S.A.,The Beach Boys,2:29,4,0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231,74,1963
Easier Said Than Done,The Essex,2:54,4,0.547,0.399,10,-9.808,1,0.0246,0.668,0.00000281,0.132,0.563,84.127,74,1963
You Are My Sunshine,Ray Charles,1:22,4,0.574,0.121,10,-14.275,1,0.0426,0.978,0.00000104,0.353,0.657,115.165,73,1963
The End Of The World,Skeeter Davis,2:19,4,0.647,0.705,1,-5.497,0,0.0531,0.00265,0,0.226,0.194,75.504,73,1963
Cry Baby,Garnet Mimms & and the Enchanters,3:59,4,0.686,0.691,5,-4.616,0,0.0371,0.257,0,0.145,0.477,95.046,71,1963
So Much In Love,The Tymes,2:58,4,0.522,0.953,2,-4.347,1,0.0833,0.0722,0.000633,0.211,0.0396,131.937,70,1963
Wonderful! Wonderful!,The Tymes,4:24,4,0.647,0.491,6,-8.972,0,0.0466,0.247,0.00329,0.227,0.484,89.013,68,1963
Pride And Joy,Marvin Gaye,3:39,4,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,66,1963
Blowin’ In The Wind,"Peter, Paul & Mary",2:45,4,0.38,0.0993,2,-20.567,1,0.0509,0.914,0.0000232,0.0605,0.44,174.874,66,1963
Blue Velvet,Bobby Vinton,1:04,5,0.546,0.249,1,-12.787,0,0.22,0.816,0.00733,0.0678,0.96,135.579,65,1963
Our Day Will Come,Ruby & the Romantics,2:49,4,0.705,0.634,5,-6.083,0,0.0282,0.0405,0.0000353,0.349,0.639,98.008,65,1963
Big Girls Don’t Cry,The Four Seasons,4:28,4,0.707,0.642,7,-4.271,1,0.0337,0.204,0,0.0925,0.249,113.083,65,1963
Young Lovers,Paul & Paula,2:57,4,0.577,0.307,9,-11.556,1,0.0428,0.378,0,0.18,0.575,125.165,64,1963
Rhythm Of The Rain,The Cascades,2:26,4,0.659,0.66,0,-8.337,1,0.0441,0.627,0.000217,0.136,0.672,116.634,63,1963
My Dad,Paul Petersen,4:27,4,0.73,0.698,7,-5.089,1,0.508,0.0986,0,0.322,0.711,176.146,62,1963
In Dreams,Roy Orbison,2:41,4,0.602,0.475,2,-10.29,1,0.0279,0.0635,0.00184,0.0918,0.595,119.991,62,1963
Tell Him,The Exciters,4:40,4,0.655,0.647,1,-9.465,1,0.0903,0.19,0.00877,0.0412,0.931,80.077,62,1963
Loop De Loop,Johnny Thunder,9:54,0,0,0.000273,1,-47.359,1,0,0.62,0.973,0.111,0,0,61,1963
Return To Sender,Elvis Presley,2:06,4,0.845,0.563,8,-9.488,1,0.0439,0.628,0,0.0614,0.969,130.335,60,1963
Then He Kissed Me,The Crystals,2:38,4,0.431,0.678,4,-7.945,1,0.0365,0.7,0.00000637,0.199,0.633,135.919,60,1963
Blue On Blue,Bobby Vinton,4:34,4,0.51,0.843,7,-5.611,1,0.0275,0.00104,0.0000115,0.0899,0.484,156.063,59,1963
Walk Like A Man,The Four Seasons,2:17,4,0.681,0.64,3,-10.364,1,0.0346,0.605,0,0.0641,0.966,117.884,59,1963
Maria Elena,Los Indios Tabajaras,3:13,4,0.784,0.801,8,-5.157,1,0.0337,0.527,0,0.0862,0.969,104.769,58,1963
He’s So Fine,The Chiffons,1:52,4,0.558,0.633,7,-3.265,1,0.0329,0.487,0,0.129,0.871,72.494,58,1963
One Fine Day,The Chiffons,2:08,4,0.251,0.868,1,-2.685,1,0.128,0.488,0.00000734,0.814,0.599,177.13,58,1963
Release Me,Esther Phillips “Little Esther”,2:49,1,0.152,0.00504,0,-34.183,1,0.0432,0.953,0.928,0.102,0.0303,136.702,57,1963
Fingertips,Little Stevie Wonder,5:48,5,0.416,0.185,5,-13.627,1,0.0378,0.92,0.000875,0.155,0.0985,104.474,57,1963
Up On The Roof,The Drifters,2:37,4,0.693,0.29,8,-17.501,1,0.0334,0.706,0.0000149,0.137,0.92,121.795,57,1963
"Puff, The Magic Dragon","Peter, Paul & Mary",3:26,4,0.507,0.088,9,-23.309,1,0.0343,0.51,0,0.0984,0.398,144.226,56,1963
Zip-A-Dee Doo-Dah,Bob B. Soxx and the Blue Jeans,3:26,4,0.578,0.0958,0,-18.467,1,0.0411,0.993,0.655,0.0773,0.419,76.321,55,1963
South Street,The Orlons,3:57,4,0.78,0.585,2,-8.766,0,0.0389,0.11,0.314,0.083,0.707,90.024,55,1963
Da Doo Ron Ron,The Crystals,2:20,4,0.535,0.797,3,-7.533,1,0.0459,0.48,0.0000342,0.141,0.613,148.835,54,1963
I Will Follow Him,Little Peggy March,2:28,4,0.638,0.44,0,-10.892,1,0.0348,0.722,0,0.515,0.904,125.483,53,1963
Fools Rush In,Rick Nelson,2:29,3,0.633,0.12,5,-20.066,0,0.0428,0.971,0.871,0.121,0.456,115.51,53,1963
Wipe Out,The Surfaris,2:46,4,0.461,0.955,11,-6.684,1,0.0489,0.111,0.532,0.952,0.725,160.073,53,1963
Hello Stranger,Barbara Lewis,2:46,4,0.458,0.164,0,-23.883,1,0.0304,0.743,0,0.125,0.82,103.32,52,1963
If You Wanna Be Happy,Jimmy Soul,2:23,4,0.673,0.866,10,-8.34,1,0.0391,0.695,0.000231,0.328,0.839,93.224,52,1963
Surfer Girl,The Beach Boys,2:28,3,0.522,0.372,2,-8.364,1,0.0253,0.659,0,0.142,0.652,105.826,52,1963
Candy Girl,The Four Seasons,3:55,4,0.839,0.623,1,-13.712,1,0.108,0.346,0.0138,0.314,0.668,103.799,50,1963
I Love You Because,Al Martino,2:45,4,0.557,0.152,5,-16.91,1,0.0319,0.912,0.00000441,0.0906,0.457,110.879,49,1963
Surf City,Jan & Dean,2:27,4,0.534,0.807,8,-12.871,1,0.0349,0.497,0.00005,0.232,0.964,147.843,49,1963
"Memphis, Tennessee",Lonnie Mack,2:11,4,0.785,0.432,8,-8.333,0,0.044,0.768,0.00000161,0.153,0.824,97.746,49,1963
Busted,Ray Charles,1:37,4,0.604,0.813,8,-4.546,1,0.364,0.235,0,0.0733,0.895,203.989,49,1963
Pipeline,The Chantays,2:19,4,0.444,0.459,9,-16.485,0,0.0388,0.752,0.885,0.13,0.735,152.111,49,1963
It’s All Right,The Impressions,2:47,3,0.558,0.365,1,-15.422,1,0.25,0.256,0,0.341,0.635,81.503,47,1963
Two Lovers,Mary Wells,2:46,4,0.678,0.405,2,-16.965,1,0.0304,0.426,0,0.109,0.96,105.902,46,1963
The Night Has A Thousand Eyes,Bobby Vee,2:35,4,0.556,0.506,5,-10.771,0,0.0326,0.687,0,0.0905,0.888,98.574,45,1963
Limbo Rock,Chubby Checker,2:28,4,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,45,1963
My Boyfriend’s Back,The Angels,2:16,4,0.683,0.885,3,-6.099,1,0.155,0.629,0,0.075,0.954,135.134,45,1963
Walk Right In,The Rooftop Singers,2:37,4,0.681,0.66,3,-10.426,1,0.0319,0.791,0.0364,0.0669,0.965,130.019,44,1963
If I Had A Hammer,Trini Lopez,2:01,4,0.628,0.423,9,-11.231,1,0.0365,0.326,0,0.16,0.353,100.082,44,1963
Sukiyaki,Kyu Sakamoto,3:09,4,0.415,0.359,7,-11.094,1,0.0334,0.707,0.0000653,0.319,0.404,146.029,43,1963
From A Jack To A King,Ned Miller,2:21,4,0.397,0.419,2,-9.574,1,0.0319,0.373,0,0.288,0.705,200.677,43,1963
Denise,Randy & the Rainbows,1:58,4,0.547,0.678,5,-9.841,0,0.0416,0.432,0,0.114,0.895,125.883,43,1963
Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,2:25,4,0.416,0.726,6,-5.254,1,0.0573,0.687,0,0.27,0.895,182.219,42,1963
Donna The Prima Donna,Dion DiMucci,2:48,4,0.331,0.556,6,-10.672,0,0.0372,0.675,0,0.353,0.939,138.635,41,1963
Hey Paula,Paul & Paula,2:26,3,0.432,0.283,7,-11.691,1,0.031,0.84,0.155,0.199,0.31,110.33,41,1963
Sugar Shack,The Fireballs,2:03,4,0.792,0.803,7,-7.484,1,0.0664,0.225,0.00000501,0.065,0.881,132.85,40,1963
The Lonely Bull (EL Solo Toro),the Tijuana Brass featuring Herb Alpert,2:16,4,0.424,0.473,1,-10.755,1,0.0316,0.0196,0.831,0.738,0.823,114.249,40,1963
Wild Weekend,The Rebels,3:27,4,0.339,0.25,5,-5.9,0,0.0376,0.534,0.000239,0.115,0.195,143,39,1963
Take These Chains From My Heart,Ray Charles,2:56,4,0.435,0.131,5,-11.274,1,0.0287,0.859,0,0.113,0.447,102.975,37,1963
Mean Woman Blues,Roy Orbison,2:16,4,0.395,0.608,0,-10.413,1,0.079,0.367,0.000104,0.436,0.87,168.703,36,1963
Go Away Little Girl,Steve Lawrence,2:30,4,0.302,0.521,7,-5.391,1,0.0354,0.72,0.00000474,0.123,0.364,101.814,36,1963
It’s My Party,Lesley Gore,3:15,4,0.439,0.72,7,-4.927,1,0.0327,0.0403,0,0.103,0.344,152.053,35,1963
Foolish Little Girl,The Shirelles,2:15,4,0.802,0.527,7,-12.24,0,0.0414,0.749,0.0000066,0.265,0.926,109.755,35,1963
Ruby Baby,Dion,2:36,4,0.643,0.538,4,-14.049,1,0.132,0.788,0,0.226,0.599,121.728,34,1963
Two Faces Have I,Lou Christie,2:45,4,0.649,0.584,5,-8.086,1,0.0349,0.72,0.00000942,0.0996,0.963,139.266,32,1963
Blame It On The Bossa Nova,Eydie Gormé,2:34,4,0.658,0.394,1,-15.838,1,0.0422,0.529,0,0.197,0.968,79.707,31,1963
Baby Workout,Jackie Wilson,3:02,4,0.584,0.68,8,-7.333,1,0.0817,0.515,0,0.204,0.87,141.529,31,1963
Deep Purple,Nino Tempo & April Stevens,2:40,3,0.507,0.32,5,-12.472,1,0.0305,0.881,0.0000259,0.153,0.575,130.565,30,1963
Washington Square,The Village Stompers,3:41,4,0.459,0.843,7,-7.005,1,0.0577,0.0597,0.00012,0.337,0.489,166.106,30,1963
Can’t Get Used To Losing You,Andy Williams,3:05,4,0.804,0.476,9,-11.399,0,0.0414,0.00579,0.0662,0.0643,0.898,112.777,29,1963
Telstar,the Tornados,3:22,4,0.237,0.777,9,-7.347,1,0.0421,0.00174,0.832,0.107,0.677,145.956,29,1963
The Monkey Time,Major Lance,2:46,4,0.798,0.675,5,-8.707,1,0.0488,0.575,0,0.114,0.94,123.27,28,1963
Sally Go ‘ROUND The Roses,The Jaynetts,3:15,4,0.694,0.453,2,-12.583,1,0.0327,0.234,0.546,0.0703,0.457,146.6,28,1963
You Can’t Sit Down,The Dovells,2:19,4,0.432,0.869,5,-5.596,1,0.239,0.119,0,0.319,0.966,164.777,27,1963
(YOU’RE The) Devil In Disguise,Elvis Presley,2:33,4,0.425,0.944,6,-8.681,1,0.0666,0.000568,0.0855,0.187,0.411,148.224,26,1963
It’s Up To You,Rick Nelson,1:12,4,0.512,0.328,9,-10.127,1,0.246,0.864,0.886,0.113,0.724,95.048,26,1963
"Tie Me Kangaroo Down, Sport",Rolf Harris,2:42,4,0.712,0.451,9,-14.916,1,0.516,0.695,0,0.164,0.656,93.457,25,1963
I Can’t Stay Mad At You,Skeeter Davis,2:06,4,0.552,0.666,1,-8.507,1,0.0309,0.657,0.00000319,0.132,0.914,120.292,25,1963
Reverend Mr. Black,The Kingston Trio,3:04,4,0.573,0.309,5,-16.006,1,0.0502,0.907,0,0.356,0.651,93.044,24,1963
Don’t Hang Up,The Orlons,2:19,4,0.764,0.473,7,-13.386,1,0.0437,0.316,0.00000138,0.0969,0.97,112.701,24,1963
Our Winter Love,Bill Pursell,3:53,4,0.535,0.164,7,-16.869,1,0.0304,0.806,0.202,0.111,0.196,136.011,23,1963
"Pepino, The Italian Mouse",Lou Monte,2:41,4,0.792,0.529,1,-8.872,1,0.146,0.694,0,0.066,0.87,125.551,23,1963
You’re The Reason I’m Living,Bobby Darin,2:28,4,0.347,0.209,2,-12.525,1,0.0276,0.766,0,0.24,0.36,72.3,22,1963
Hotel Happiness,Brook Benton,2:42,4,0.636,0.345,10,-13.836,1,0.0454,0.816,0.0132,0.0642,0.652,105.278,21,1963
